bundle_dir,seed,run_id,ablation,task_id,hidden_test_records,verifier_payload_leaks,hint_text_leaks,feedback_json_hidden_payload_leaks
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed100/20260220_095005/A1/bundles/adjacent_hanoi,100,20260220_095005,A1,adjacent_hanoi,144,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed100/20260220_095005/A1/bundles/hard2_angular_sort,100,20260220_095005,A1,hard2_angular_sort,189,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed100/20260220_095005/A1/bundles/ss_007,100,20260220_095005,A1,ss_007,144,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed100/20260220_095005/A1/bundles/ss_010,100,20260220_095005,A1,ss_010,161,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed100/20260220_095005/A1/bundles/wildcard_match,100,20260220_095005,A1,wildcard_match,240,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed100/20260220_095005/A2/bundles/adjacent_hanoi,100,20260220_095005,A2,adjacent_hanoi,144,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed100/20260220_095005/A2/bundles/hard2_angular_sort,100,20260220_095005,A2,hard2_angular_sort,189,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed100/20260220_095005/A2/bundles/ss_007,100,20260220_095005,A2,ss_007,144,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed100/20260220_095005/A2/bundles/ss_010,100,20260220_095005,A2,ss_010,140,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed100/20260220_095005/A2/bundles/wildcard_match,100,20260220_095005,A2,wildcard_match,240,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed100/20260220_095005/A3/bundles/adjacent_hanoi,100,20260220_095005,A3,adjacent_hanoi,144,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed100/20260220_095005/A3/bundles/hard2_angular_sort,100,20260220_095005,A3,hard2_angular_sort,189,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed100/20260220_095005/A3/bundles/ss_007,100,20260220_095005,A3,ss_007,144,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed100/20260220_095005/A3/bundles/ss_010,100,20260220_095005,A3,ss_010,161,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed100/20260220_095005/A3/bundles/wildcard_match,100,20260220_095005,A3,wildcard_match,240,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed200/20260220_095005/A1/bundles/adjacent_hanoi,200,20260220_095005,A1,adjacent_hanoi,144,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed200/20260220_095005/A1/bundles/hard2_angular_sort,200,20260220_095005,A1,hard2_angular_sort,189,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed200/20260220_095005/A1/bundles/ss_007,200,20260220_095005,A1,ss_007,144,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed200/20260220_095005/A1/bundles/ss_010,200,20260220_095005,A1,ss_010,168,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed200/20260220_095005/A1/bundles/wildcard_match,200,20260220_095005,A1,wildcard_match,240,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed200/20260220_095005/A2/bundles/adjacent_hanoi,200,20260220_095005,A2,adjacent_hanoi,144,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed200/20260220_095005/A2/bundles/hard2_angular_sort,200,20260220_095005,A2,hard2_angular_sort,189,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed200/20260220_095005/A2/bundles/ss_007,200,20260220_095005,A2,ss_007,144,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed200/20260220_095005/A2/bundles/ss_010,200,20260220_095005,A2,ss_010,168,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed200/20260220_095005/A2/bundles/wildcard_match,200,20260220_095005,A2,wildcard_match,240,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed200/20260220_095005/A3/bundles/adjacent_hanoi,200,20260220_095005,A3,adjacent_hanoi,144,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed200/20260220_095005/A3/bundles/hard2_angular_sort,200,20260220_095005,A3,hard2_angular_sort,189,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed200/20260220_095005/A3/bundles/ss_007,200,20260220_095005,A3,ss_007,144,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed200/20260220_095005/A3/bundles/ss_010,200,20260220_095005,A3,ss_010,168,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed200/20260220_095005/A3/bundles/wildcard_match,200,20260220_095005,A3,wildcard_match,240,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed42/20260220_095005/A1/bundles/adjacent_hanoi,42,20260220_095005,A1,adjacent_hanoi,144,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed42/20260220_095005/A1/bundles/hard2_angular_sort,42,20260220_095005,A1,hard2_angular_sort,189,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed42/20260220_095005/A1/bundles/ss_007,42,20260220_095005,A1,ss_007,144,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed42/20260220_095005/A1/bundles/ss_010,42,20260220_095005,A1,ss_010,161,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed42/20260220_095005/A1/bundles/wildcard_match,42,20260220_095005,A1,wildcard_match,240,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed42/20260220_095005/A2/bundles/adjacent_hanoi,42,20260220_095005,A2,adjacent_hanoi,144,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed42/20260220_095005/A2/bundles/hard2_angular_sort,42,20260220_095005,A2,hard2_angular_sort,189,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed42/20260220_095005/A2/bundles/ss_007,42,20260220_095005,A2,ss_007,144,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed42/20260220_095005/A2/bundles/ss_010,42,20260220_095005,A2,ss_010,168,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed42/20260220_095005/A2/bundles/wildcard_match,42,20260220_095005,A2,wildcard_match,240,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed42/20260220_095005/A3/bundles/adjacent_hanoi,42,20260220_095005,A3,adjacent_hanoi,144,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed42/20260220_095005/A3/bundles/hard2_angular_sort,42,20260220_095005,A3,hard2_angular_sort,189,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed42/20260220_095005/A3/bundles/ss_007,42,20260220_095005,A3,ss_007,144,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed42/20260220_095005/A3/bundles/ss_010,42,20260220_095005,A3,ss_010,168,0,0,0
runs/drop4_gmdt_stress_v1_full_parallel_pass2/seed42/20260220_095005/A3/bundles/wildcard_match,42,20260220_095005,A3,wildcard_match,240,0,0,0
