case_id,task_name,runs_per_mode,metric,unit,lower_is_better,A1,A2,A3,A2_minus_A1,A3_minus_A2,A3_minus_A1,notes
AGICE Demo Replay,All Tasks (combined),60,solve_rate,ratio,0,0.1500,0.9833,1.0000,0.8333,0.0167,0.8500,
AGICE Demo Replay,All Tasks (combined),60,expected_round_penalty_3,round,1,3.3167,5.9500,6.0000,2.6333,0.0500,2.6833,Unsolved runs use round penalty = 3.
AGICE Demo Replay,All Tasks (combined),60,mean_best_round_solved,round,1,5.1111,6.0000,6.0000,0.8889,0.0000,0.8889,
AGICE Demo Replay,rf_mwp_000120,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000120,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000121,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000121,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000122,1,solve_rate,ratio,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,
AGICE Demo Replay,rf_mwp_000122,1,expected_round_penalty_3,round,1,6.0000,6.0000,6.0000,0.0000,0.0000,0.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000123,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000123,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000124,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000124,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000125,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000125,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000126,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000126,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000127,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000127,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000128,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000128,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000129,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000129,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000130,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000130,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000131,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000131,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000132,1,solve_rate,ratio,0,0.0000,0.0000,1.0000,0.0000,1.0000,1.0000,
AGICE Demo Replay,rf_mwp_000132,1,expected_round_penalty_3,round,1,3.0000,3.0000,6.0000,0.0000,3.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000133,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000133,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000134,1,solve_rate,ratio,0,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,
AGICE Demo Replay,rf_mwp_000134,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000135,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000135,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000136,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
AGICE Demo Replay,rf_mwp_000136,1,expected_round_penalty_3,round,1,3.0000,6.0000,6.0000,3.0000,0.0000,3.0000,Unsolved runs use round penalty = 3.
AGICE Demo Replay,rf_mwp_000137,1,solve_rate,ratio,0,0.0000,1.0000,1.0000,1.0000,0.0000,1.0000,
