task_id,family,difficulty,a1_solved,a2_solved,a3_solved,a1_best_round,a2_best_round,a3_best_round,a1_calls,a2_calls,a3_calls,a3_rotation,a3_minus_i_samples,a3_minus_i_selected,dominance
rf_mwp_000120,mwp_templates,easy,0,1,1,5,6,6,72,72,72,1,1,1,A2=A3>A1
rf_mwp_000121,mwp_templates,easy,0,1,1,6,6,6,72,72,72,0,0,0,A2=A3>A1
rf_mwp_000122,mwp_templates,easy,1,1,1,6,6,6,72,72,72,1,1,0,tie
rf_mwp_000123,mwp_templates,easy,0,1,1,3,6,6,72,72,72,1,1,1,A2=A3>A1
rf_mwp_000124,mwp_templates,easy,0,1,1,6,6,6,72,72,72,0,0,0,A2=A3>A1
rf_mwp_000125,mwp_templates,easy,0,1,1,4,6,6,72,72,72,0,0,0,A2=A3>A1
rf_mwp_000126,mwp_templates,easy,0,1,1,6,6,6,72,72,72,1,1,0,A2=A3>A1
rf_mwp_000127,mwp_templates,easy,0,1,1,4,6,6,72,72,72,1,1,0,A2=A3>A1
rf_mwp_000128,mwp_templates,easy,0,1,1,6,6,6,72,72,72,1,1,0,A2=A3>A1
rf_mwp_000129,mwp_templates,easy,0,1,1,6,6,6,72,72,72,1,1,0,A2=A3>A1
rf_mwp_000130,mwp_templates,easy,0,1,1,5,6,6,72,72,72,1,1,0,A2=A3>A1
rf_mwp_000131,mwp_templates,easy,0,1,1,5,6,6,72,72,72,1,1,1,A2=A3>A1
rf_mwp_000132,mwp_templates,easy,0,0,1,1,6,6,72,72,72,1,1,0,A3>A2
rf_mwp_000133,mwp_templates,easy,0,1,1,3,6,6,72,72,72,0,0,0,A2=A3>A1
rf_mwp_000134,mwp_templates,easy,1,1,1,3,6,6,72,72,72,0,0,0,tie
rf_mwp_000135,mwp_templates,easy,0,1,1,3,6,6,72,72,72,0,0,0,A2=A3>A1
rf_mwp_000136,mwp_templates,easy,0,1,1,3,6,6,72,72,72,2,2,0,A2=A3>A1
rf_mwp_000137,mwp_templates,easy,0,1,1,6,6,6,72,72,72,1,1,0,A2=A3>A1
rf_mwp_000138,mwp_templates,easy,0,1,1,3,6,6,72,72,72,0,0,0,A2=A3>A1
rf_mwp_000139,mwp_templates,easy,0,1,1,4,6,6,72,72,72,0,0,0,A2=A3>A1
rf_mwp_000140,mwp_templates,medium,0,1,1,6,6,6,72,72,72,0,0,0,A2=A3>A1
rf_mwp_000141,mwp_templates,medium,0,1,1,3,6,6,72,72,72,1,1,0,A2=A3>A1
rf_mwp_000142,mwp_templates,medium,0,1,1,3,6,6,72,72,72,2,2,0,A2=A3>A1
rf_mwp_000143,mwp_templates,medium,0,1,1,5,6,6,72,72,72,0,0,0,A2=A3>A1
rf_mwp_000144,mwp_templates,medium,0,1,1,5,6,6,72,72,72,0,0,0,A2=A3>A1
