run_id,ablation,task_id,bundle_relpath,has_replay_report,replay_report_relpath
20260306_094226,A1,rf_mwp_000120,bundles/20260306_094226/seed42/A1/rf_mwp_000120,0,
20260306_094226,A1,rf_mwp_000121,bundles/20260306_094226/seed42/A1/rf_mwp_000121,0,
20260306_094226,A1,rf_mwp_000122,bundles/20260306_094226/seed42/A1/rf_mwp_000122,0,
20260306_094226,A1,rf_mwp_000123,bundles/20260306_094226/seed42/A1/rf_mwp_000123,0,
20260306_094226,A1,rf_mwp_000124,bundles/20260306_094226/seed42/A1/rf_mwp_000124,0,
20260306_094226,A1,rf_mwp_000125,bundles/20260306_094226/seed42/A1/rf_mwp_000125,0,
20260306_094226,A1,rf_mwp_000126,bundles/20260306_094226/seed42/A1/rf_mwp_000126,0,
20260306_094226,A1,rf_mwp_000127,bundles/20260306_094226/seed42/A1/rf_mwp_000127,0,
20260306_094226,A1,rf_mwp_000128,bundles/20260306_094226/seed42/A1/rf_mwp_000128,0,
20260306_094226,A1,rf_mwp_000129,bundles/20260306_094226/seed42/A1/rf_mwp_000129,0,
20260306_094226,A2,rf_mwp_000120,bundles/20260306_094226/seed42/A2/rf_mwp_000120,0,
20260306_094226,A2,rf_mwp_000121,bundles/20260306_094226/seed42/A2/rf_mwp_000121,0,
20260306_094226,A2,rf_mwp_000122,bundles/20260306_094226/seed42/A2/rf_mwp_000122,0,
20260306_094226,A2,rf_mwp_000123,bundles/20260306_094226/seed42/A2/rf_mwp_000123,0,
20260306_094226,A2,rf_mwp_000124,bundles/20260306_094226/seed42/A2/rf_mwp_000124,0,
20260306_094226,A2,rf_mwp_000125,bundles/20260306_094226/seed42/A2/rf_mwp_000125,0,
20260306_094226,A2,rf_mwp_000126,bundles/20260306_094226/seed42/A2/rf_mwp_000126,0,
20260306_094226,A2,rf_mwp_000127,bundles/20260306_094226/seed42/A2/rf_mwp_000127,0,
20260306_094226,A2,rf_mwp_000128,bundles/20260306_094226/seed42/A2/rf_mwp_000128,0,
20260306_094226,A2,rf_mwp_000129,bundles/20260306_094226/seed42/A2/rf_mwp_000129,0,
20260306_094226,A3,rf_mwp_000120,bundles/20260306_094226/seed42/A3/rf_mwp_000120,0,
20260306_094226,A3,rf_mwp_000121,bundles/20260306_094226/seed42/A3/rf_mwp_000121,0,
20260306_094226,A3,rf_mwp_000122,bundles/20260306_094226/seed42/A3/rf_mwp_000122,0,
20260306_094226,A3,rf_mwp_000123,bundles/20260306_094226/seed42/A3/rf_mwp_000123,0,
20260306_094226,A3,rf_mwp_000124,bundles/20260306_094226/seed42/A3/rf_mwp_000124,0,
20260306_094226,A3,rf_mwp_000125,bundles/20260306_094226/seed42/A3/rf_mwp_000125,0,
20260306_094226,A3,rf_mwp_000126,bundles/20260306_094226/seed42/A3/rf_mwp_000126,0,
20260306_094226,A3,rf_mwp_000127,bundles/20260306_094226/seed42/A3/rf_mwp_000127,0,
20260306_094226,A3,rf_mwp_000128,bundles/20260306_094226/seed42/A3/rf_mwp_000128,0,
20260306_094226,A3,rf_mwp_000129,bundles/20260306_094226/seed42/A3/rf_mwp_000129,0,
20260306_135645,A1,rf_mwp_000130,bundles/20260306_135645/seed42/A1/rf_mwp_000130,0,
20260306_135645,A1,rf_mwp_000131,bundles/20260306_135645/seed42/A1/rf_mwp_000131,0,
20260306_135645,A1,rf_mwp_000132,bundles/20260306_135645/seed42/A1/rf_mwp_000132,0,
