run_id,ablation,task_id,bundle_relpath,has_replay_report,replay_report_relpath
20260216_145600,A1,ss_004,bundles/20260216_145600/A1/ss_004,1,bundles/20260216_145600/A1/ss_004/replay_report.json
20260216_145600,A2,ss_004,bundles/20260216_145600/A2/ss_004,1,bundles/20260216_145600/A2/ss_004/replay_report.json
20260216_145600,A3,ss_004,bundles/20260216_145600/A3/ss_004,1,bundles/20260216_145600/A3/ss_004/replay_report.json
20260216_145812,A1,ss_004,bundles/20260216_145812/A1/ss_004,1,bundles/20260216_145812/A1/ss_004/replay_report.json
20260216_145812,A2,ss_004,bundles/20260216_145812/A2/ss_004,1,bundles/20260216_145812/A2/ss_004/replay_report.json
20260216_145812,A3,ss_004,bundles/20260216_145812/A3/ss_004,1,bundles/20260216_145812/A3/ss_004/replay_report.json
20260216_145940,A1,ss_004,bundles/20260216_145940/A1/ss_004,1,bundles/20260216_145940/A1/ss_004/replay_report.json
20260216_145940,A2,ss_004,bundles/20260216_145940/A2/ss_004,1,bundles/20260216_145940/A2/ss_004/replay_report.json
20260216_145940,A3,ss_004,bundles/20260216_145940/A3/ss_004,1,bundles/20260216_145940/A3/ss_004/replay_report.json
20260216_145606,A1,ss_004,bundles/20260216_145606/A1/ss_004,1,bundles/20260216_145606/A1/ss_004/replay_report.json
20260216_145606,A2,ss_004,bundles/20260216_145606/A2/ss_004,1,bundles/20260216_145606/A2/ss_004/replay_report.json
20260216_145606,A3,ss_004,bundles/20260216_145606/A3/ss_004,1,bundles/20260216_145606/A3/ss_004/replay_report.json
20260216_145819,A1,ss_004,bundles/20260216_145819/A1/ss_004,1,bundles/20260216_145819/A1/ss_004/replay_report.json
20260216_145819,A2,ss_004,bundles/20260216_145819/A2/ss_004,1,bundles/20260216_145819/A2/ss_004/replay_report.json
20260216_145819,A3,ss_004,bundles/20260216_145819/A3/ss_004,1,bundles/20260216_145819/A3/ss_004/replay_report.json
20260216_145947,A1,ss_004,bundles/20260216_145947/A1/ss_004,1,bundles/20260216_145947/A1/ss_004/replay_report.json
20260216_145947,A2,ss_004,bundles/20260216_145947/A2/ss_004,1,bundles/20260216_145947/A2/ss_004/replay_report.json
20260216_145947,A3,ss_004,bundles/20260216_145947/A3/ss_004,1,bundles/20260216_145947/A3/ss_004/replay_report.json
20260216_145630,A1,hard2_complex_transform,bundles/20260216_145630/A1/hard2_complex_transform,1,bundles/20260216_145630/A1/hard2_complex_transform/replay_report.json
20260216_145630,A2,hard2_complex_transform,bundles/20260216_145630/A2/hard2_complex_transform,1,bundles/20260216_145630/A2/hard2_complex_transform/replay_report.json
20260216_145630,A3,hard2_complex_transform,bundles/20260216_145630/A3/hard2_complex_transform,1,bundles/20260216_145630/A3/hard2_complex_transform/replay_report.json
20260216_145848,A1,hard2_complex_transform,bundles/20260216_145848/A1/hard2_complex_transform,1,bundles/20260216_145848/A1/hard2_complex_transform/replay_report.json
20260216_145848,A2,hard2_complex_transform,bundles/20260216_145848/A2/hard2_complex_transform,1,bundles/20260216_145848/A2/hard2_complex_transform/replay_report.json
20260216_145848,A3,hard2_complex_transform,bundles/20260216_145848/A3/hard2_complex_transform,1,bundles/20260216_145848/A3/hard2_complex_transform/replay_report.json
20260216_150013,A1,hard2_complex_transform,bundles/20260216_150013/A1/hard2_complex_transform,1,bundles/20260216_150013/A1/hard2_complex_transform/replay_report.json
20260216_150013,A2,hard2_complex_transform,bundles/20260216_150013/A2/hard2_complex_transform,1,bundles/20260216_150013/A2/hard2_complex_transform/replay_report.json
20260216_150013,A3,hard2_complex_transform,bundles/20260216_150013/A3/hard2_complex_transform,1,bundles/20260216_150013/A3/hard2_complex_transform/replay_report.json
20260216_145655,A1,hard2_complex_transform,bundles/20260216_145655/A1/hard2_complex_transform,1,bundles/20260216_145655/A1/hard2_complex_transform/replay_report.json
20260216_145655,A2,hard2_complex_transform,bundles/20260216_145655/A2/hard2_complex_transform,1,bundles/20260216_145655/A2/hard2_complex_transform/replay_report.json
20260216_145655,A3,hard2_complex_transform,bundles/20260216_145655/A3/hard2_complex_transform,1,bundles/20260216_145655/A3/hard2_complex_transform/replay_report.json
20260216_145914,A1,hard2_complex_transform,bundles/20260216_145914/A1/hard2_complex_transform,1,bundles/20260216_145914/A1/hard2_complex_transform/replay_report.json
20260216_145914,A2,hard2_complex_transform,bundles/20260216_145914/A2/hard2_complex_transform,1,bundles/20260216_145914/A2/hard2_complex_transform/replay_report.json
20260216_145914,A3,hard2_complex_transform,bundles/20260216_145914/A3/hard2_complex_transform,1,bundles/20260216_145914/A3/hard2_complex_transform/replay_report.json
20260216_150059,A1,hard2_complex_transform,bundles/20260216_150059/A1/hard2_complex_transform,1,bundles/20260216_150059/A1/hard2_complex_transform/replay_report.json
20260216_150059,A2,hard2_complex_transform,bundles/20260216_150059/A2/hard2_complex_transform,1,bundles/20260216_150059/A2/hard2_complex_transform/replay_report.json
20260216_150059,A3,hard2_complex_transform,bundles/20260216_150059/A3/hard2_complex_transform,1,bundles/20260216_150059/A3/hard2_complex_transform/replay_report.json
20260208_111245,A1,lcb_v6_003,bundles/20260208_111245/A1/lcb_v6_003,0,
20260208_111245,A2,lcb_v6_003,bundles/20260208_111245/A2/lcb_v6_003,0,
20260208_111245,A3,lcb_v6_003,bundles/20260208_111245/A3/lcb_v6_003,0,
